,names,scores,logfoldchanges,pvals,pvals_adj,14_mean_expr,14_frac_expr,23_mean_expr,23_frac_expr,chromosome
28,MAN1A1,8.756798,1.1813825,2.0087636790192996e-18,1.9095307532757463e-16,0.9657668,0.8604651162790697,0.5407549,0.7704918032786885,chr6
29,RNASE2,8.458967,1.4889545,2.6975549093258802e-17,2.2895497292903407e-15,0.9776593,0.8023255813953488,0.46422315,0.6174863387978142,chr14
30,SNHG5,8.449806,0.44323722,2.9178563222955823e-17,2.447394899977218e-15,1.8848668,0.9903100775193798,1.6308113,1.0,chr6
31,RGCC,8.392925,3.105497,4.741942630702692e-17,3.9268428141927476e-15,0.46384168,0.5116279069767442,0.06632072,0.14207650273224043,chr13
32,CDV3,8.337321,1.0789912,7.599222827779394e-17,6.156665812574225e-15,0.70254374,0.8003875968992248,0.39359337,0.6994535519125683,chr3
33,SERF2,8.3243265,0.42131943,8.480985198765948e-17,6.83222417792111e-15,2.543731,0.9961240310077519,2.2779937,1.0,chr15
34,CSF3R,8.2363405,0.7515836,1.7755806375288267e-16,1.4144136486325999e-14,1.1753088,0.9166666666666666,0.8458434,0.9453551912568307,chr1
35,IRF2BP2,8.230163,1.2745821,1.869598250874473e-16,1.4851588556668027e-14,0.70274764,0.7635658914728682,0.3515858,0.6338797814207651,chr1
36,CITED4,8.223345,1.0490685,1.9790431674419652e-16,1.5677320291419436e-14,0.8363322,0.8410852713178295,0.4898524,0.6939890710382514,chr1
37,LAIR1,8.202467,1.1837071,2.3550304598704715e-16,1.8501586406222066e-14,0.68224955,0.7635658914728682,0.35814717,0.6666666666666666,chr19
38,NACA,8.143029,0.2560576,3.8550984296448486e-16,2.987491766755755e-14,3.1935704,0.998062015503876,3.0240197,1.0,chr12
39,PFDN5,8.13046,0.34859848,4.2766564526390775e-16,3.296261857198952e-14,2.2639658,0.9941860465116279,2.0503495,1.0,chr12
40,TOMM7,8.0478,0.41877368,8.429546914320816e-16,6.309549052561707e-14,1.7772447,0.9922480620155039,1.5423635,1.0,chr7
41,RASGRP2,8.020531,0.89351356,1.0528901385386947e-15,7.778839629752978e-14,0.8920324,0.8527131782945736,0.57391244,0.819672131147541,chr11
42,JARID2,7.987723,0.81542087,1.3745405621814173e-15,1.007690173580711e-13,1.0689111,0.8875968992248062,0.73553514,0.907103825136612,chr6
43,SNHG8,7.8577685,0.42625493,3.910374169174784e-15,2.7809488916839525e-13,1.9282765,0.9941860465116279,1.6815904,0.994535519125683,chr4
44,ALKBH7,7.8567033,0.8260132,3.9437580544407406e-15,2.7977137362323644e-13,0.852316,0.8507751937984496,0.5645954,0.8306010928961749,chr19
45,COMMD6,7.8164387,0.36005834,5.4338783431775295e-15,3.798121141929823e-13,1.761913,0.9844961240310077,1.5598692,0.994535519125683,chr13
46,TRAPPC5,7.7889566,0.6530403,6.756486930639479e-15,4.654142374105717e-13,1.0580204,0.9341085271317829,0.7866313,0.9289617486338798,chr19
47,CSTA,7.7827783,3.3040276,7.094889042601241e-15,4.863751098963995e-13,0.33363542,0.45155038759689925,0.039314803,0.09289617486338798,chr3
48,SSR4,7.7815,0.5529425,7.166958336429285e-15,4.897891272614484e-13,1.6161761,0.9806201550387597,1.321638,0.9836065573770492,chrX
49,ARID1B,7.780222,0.6932357,7.239748053421301e-15,4.9275211214193e-13,1.4696903,0.9534883720930233,1.1218575,0.9617486338797814,chr6
50,CYBA,7.765522,0.5850991,8.130959730495253e-15,5.494756151522834e-13,1.5987142,0.9825581395348837,1.2894708,0.9781420765027322,chr16
51,PABPC1,7.744644,0.3130771,9.584989435516102e-15,6.416542927747611e-13,2.4737134,0.9941860465116279,2.2769253,0.994535519125683,chr8
52,LYZ,7.487931,3.1035392,6.996783175623354e-14,4.3282920304214054e-12,0.40286264,0.46511627906976744,0.056113847,0.1366120218579235,chr12
53,CTSD,7.4546967,0.655991,9.007481363558542e-14,5.5361067570250536e-12,1.0935029,0.9127906976744186,0.81517744,0.9234972677595629,chr11
54,AFF2,7.318138,2.584815,2.514351893424153e-13,1.4693501495219263e-11,0.37307522,0.47093023255813954,0.07266782,0.13114754098360656,chrX
55,VAT1,7.2097006,0.8467107,5.607501404157914e-13,3.141743124632129e-11,0.83616704,0.8391472868217055,0.5464091,0.8032786885245902,chr17
56,UBA52,7.1941485,0.23173043,6.285165728994155e-13,3.500788208192487e-11,2.8229291,0.9961240310077519,2.6726096,1.0,chr19
57,ZFAS1,7.0175385,0.33487254,2.2581088359512777e-12,1.2059316064355531e-10,2.1221995,0.9922480620155039,1.9208956,1.0,chr20
58,F13A1,6.9340267,1.3636156,4.090269683736309e-12,2.1247051154971232e-10,0.59049225,0.6531007751937985,0.2721477,0.453551912568306,chr6
59,C4orf48,6.8202634,1.1499263,9.087369010356063e-12,4.594921798534294e-10,0.6229527,0.7228682170542635,0.32898107,0.6174863387978142,chr4
60,EMILIN2,6.7616773,1.6268967,1.3640309852167294e-11,6.800600635736135e-10,0.4150138,0.5562015503875969,0.1540522,0.31693989071038253,chr18
61,ATP5MC2,6.661123,0.25424257,2.717438807867207e-11,1.3247165798761882e-09,2.716136,0.998062015503876,2.5525713,0.994535519125683,chr12
62,TSPOAP1,6.6451445,2.052521,3.029195977914631e-11,1.4518758134146126e-09,0.43991446,0.5155038759689923,0.12504984,0.273224043715847,chr17
63,IGFBP2,6.6396055,0.58302325,3.1452374878558964e-11,1.499931148472817e-09,1.2225274,0.9224806201550387,0.9552509,0.9453551912568307,chr2
64,HIGD2A,6.5925236,0.44332033,4.3241217433835845e-11,2.0282122348324518e-09,1.2423688,0.9418604651162791,1.033891,0.9726775956284153,chr5
65,TKT,6.590606,0.5316219,4.380339684648217e-11,2.0512073419835445e-09,1.4802427,0.9748062015503876,1.208332,0.9726775956284153,chr3
66,SNHG29,6.5590763,0.21771573,5.414206022884555e-11,2.510606948953199e-09,3.499728,0.9961240310077519,3.3537254,1.0,chr17
67,FAU,6.4589477,0.16132838,1.0543361852345342e-10,4.6834204564670474e-09,3.3895571,0.998062015503876,3.2817135,1.0,chr11
68,BAZ1A,6.446378,0.93390304,1.1455457732563562e-10,5.057070334632317e-09,0.66706616,0.7538759689922481,0.40312237,0.6721311475409836,chr14
69,HCST,6.445952,1.2636535,1.1487690841797776e-10,5.063461629465054e-09,0.65732896,0.687984496124031,0.327273,0.6010928961748634,chr19
70,MFSD10,6.4003615,0.7514471,1.5500942478096158e-10,6.667509465917741e-09,0.7783669,0.8217054263565892,0.5304451,0.819672131147541,chr4
71,SND1,6.3093934,0.5978644,2.801310776313406e-10,1.1577939234624017e-08,0.9825412,0.9031007751937985,0.7439533,0.8961748633879781,chr7
72,DIAPH2,6.2599683,0.904857,3.850559847191471e-10,1.5709623136224086e-08,0.75641584,0.7713178294573644,0.4724076,0.726775956284153,chrX
73,EIF3K,6.2576246,0.2904666,3.908849330994689e-10,1.5901935124294797e-08,1.8082334,0.9844961240310077,1.6428096,0.994535519125683,chr19
74,ATP5F1E,6.237599,0.35408208,4.4433791331511416e-10,1.7897780525311337e-08,2.095566,0.9941860465116279,1.8837781,1.0,chr20
75,APLP2,6.23206,0.5818273,4.6034121307644615e-10,1.849015593593534e-08,1.1374505,0.9089147286821705,0.8819525,0.9180327868852459,chr11
76,CEBPD,6.1798654,3.9018948,6.415637905576182e-10,2.5201261954713714e-08,0.26771408,0.3449612403100775,0.020327864,0.04918032786885246,chr8
77,RNASEK,6.161544,0.37520462,7.203918117945354e-10,2.798928295470921e-08,1.4513899,0.9728682170542635,1.2585808,0.9890710382513661,chr17
78,C1QTNF4,6.124901,1.010703,9.074011004804427e-10,3.487501965431437e-08,0.8972317,0.7403100775193798,0.5429247,0.6830601092896175,chr11
79,TNFSF13B,6.1091356,0.8218121,1.0017203011607838e-09,3.839658541465488e-08,0.7310687,0.7655038759689923,0.4758999,0.7595628415300546,chr13
80,PRAM1,6.104449,0.9086662,1.031559356824098e-09,3.948726139316729e-08,0.652513,0.7286821705426356,0.3989476,0.6775956284153005,chr19
81,C16orf74,6.0814404,1.5818335,1.1910745059443044e-09,4.5108981089667564e-08,0.34706998,0.5077519379844961,0.12980433,0.30601092896174864,chr16
82,AP5B1,6.072493,1.8761833,1.2593961024378611e-09,4.7381870777470875e-08,0.36540923,0.4806201550387597,0.11346986,0.2459016393442623,chr11
83,ERLIN1,6.072493,0.8918822,1.2593961024378611e-09,4.7381870777470875e-08,0.59248734,0.7093023255813954,0.36165166,0.6502732240437158,chr10
84,CEBPE,5.8999305,1.979124,3.6365461020371012e-09,1.297960222001177e-07,0.35923943,0.4263565891472868,0.10403102,0.14754098360655737,chr14
85,HSPB1,5.8871484,0.31991532,3.929164817780866e-09,1.3936806252919746e-07,1.7516749,0.9709302325581395,1.5720938,1.0,chr7
86,VAMP8,5.8620095,0.34558904,4.57299058373808e-09,1.610031425519044e-07,1.817387,0.9922480620155039,1.6208735,1.0,chr2
87,MYB,5.8554053,0.66594785,4.758484372775115e-09,1.669156916885618e-07,0.9763873,0.8565891472868217,0.7144236,0.8743169398907104,chr6
88,COMT,5.826858,0.501138,5.6480691001852835e-09,1.947661845212623e-07,1.0202523,0.9050387596899225,0.81241554,0.912568306010929,chr22
89,SEC61G,5.769124,0.5529663,7.968466929801543e-09,2.692473221612327e-07,1.0367751,0.9108527131782945,0.806751,0.907103825136612,chr7
90,LRMDA,5.616587,0.46269298,1.947658515624671e-08,6.219857284275966e-07,1.554423,0.9651162790697675,1.3105768,0.9781420765027322,chr10
91,SERP1,5.581862,0.31038067,2.3795744720241854e-08,7.465424069657395e-07,1.4882344,0.9670542635658915,1.3258706,0.9836065573770492,chr3
92,MNDA,5.5658836,5.1707773,2.6082703771462306e-08,8.147059651200023e-07,0.22325462,0.2868217054263566,0.0069201984,0.01092896174863388,chr1
93,CCDC85B,5.529667,0.50227314,3.20839273222872e-08,9.89156150677823e-07,1.0495834,0.8953488372093024,0.83752894,0.9398907103825137,chr11
94,PYCARD,5.5092154,0.45043495,3.60437166786519e-08,1.100529670494427e-06,0.91445166,0.877906976744186,0.7392537,0.9453551912568307,chr16
95,RACK1,5.3858647,0.14658111,7.209707894848104e-08,2.1131187024180705e-06,3.5467827,1.0,3.4482565,1.0,chr5
96,MYO15B,5.370739,1.3518602,7.841457955869228e-08,2.2749002846945943e-06,0.41610765,0.5406976744186046,0.18413748,0.43169398907103823,chr17
97,APEX1,5.332605,0.29258445,9.681377831804173e-08,2.760935330073914e-06,1.5306436,0.9748062015503876,1.375345,0.994535519125683,chr14
98,SLC25A37,5.3025665,0.8065768,1.1418596856380169e-07,3.2177425410103725e-06,0.5886991,0.6937984496124031,0.37729135,0.7049180327868853,chr8
99,RNASET2,5.2220373,0.8419665,1.7696542577335752e-07,4.815553446760124e-06,0.51302767,0.6550387596899225,0.31770542,0.6065573770491803,chr6
100,GIHCG,5.1902943,0.33958733,2.099620523031015e-07,5.616977305421996e-06,1.5239884,0.9593023255813954,1.3448074,0.9672131147540983,chr12
101,TENT5A,5.175381,1.375252,2.2744585627223755e-07,6.056303388582326e-06,0.4218715,0.5290697674418605,0.18424267,0.37158469945355194,chr6
102,APBB1IP,5.1647296,0.5180245,2.4078699177129223e-07,6.387686912868569e-06,0.95175886,0.8624031007751938,0.7469355,0.8852459016393442,chr10
103,SH3KBP1,5.151095,1.1136811,2.589701650698735e-07,6.825611060501527e-06,0.41178268,0.5678294573643411,0.21143498,0.4426229508196721,chrX
104,UQCRB,5.05054,0.28612947,4.4056293953660717e-07,1.1138274742646244e-05,1.5968512,0.9864341085271318,1.4419916,0.994535519125683,chr8
105,ZFAND5,5.0298753,0.8675055,4.90799509750113e-07,1.2331824157756585e-05,0.50507075,0.6531007751937985,0.30759782,0.5956284153005464,chr9
106,CD48,4.9955754,1.28338,5.86605286708693e-07,1.4584838331611603e-05,0.35753503,0.49806201550387597,0.16260843,0.36065573770491804,chr1
107,LARP1,4.9576545,0.7992923,7.134929698891177e-07,1.7555990090852336e-05,0.49215895,0.6531007751937985,0.3114297,0.6120218579234973,chr5
108,SMIM24,4.922503,0.3951775,8.544429795249825e-07,2.0790959803834002e-05,1.0777916,0.8992248062015504,0.9057503,0.9562841530054644,chr19
109,SDF2L1,4.913555,1.0833089,8.943952719283997e-07,2.1689085344263695e-05,0.4868665,0.5813953488372093,0.25928918,0.4644808743169399,chr22
110,PLD1,4.8300433,0.74102765,1.3650320669293918e-06,3.203949340303901e-05,0.62373346,0.7073643410852714,0.41743857,0.6612021857923497,chr3
111,P2RY8,4.825783,0.64586526,1.394544763628741e-06,3.2624797021463854e-05,0.6401826,0.7364341085271318,0.45309293,0.7213114754098361,chrX
112,AGTPBP1,4.805757,1.0902165,1.5416708514190529e-06,3.5628338201595254e-05,0.3967655,0.5542635658914729,0.20599157,0.4426229508196721,chr9
113,HAGHL,4.799366,1.5693557,1.5916887597972455e-06,3.657677683472832e-05,0.28340358,0.4263565891472868,0.10472167,0.26229508196721313,chr16
114,LAMTOR4,4.7865834,0.38832435,1.6964449410026945e-06,3.885880869679907e-05,0.9761468,0.9147286821705426,0.8170636,0.9398907103825137,chr7
115,ZEB2,4.723737,0.48374063,2.315503364772055e-06,5.103054478869356e-05,1.3688679,0.9147286821705426,1.1300938,0.9508196721311475,chr2
116,HLA-A,4.684963,0.23061045,2.8001014425512427e-06,6.0817435596859355e-05,2.366135,0.9961240310077519,2.2224224,1.0,chr6
117,COX7C,4.6787853,0.20112611,2.885796928131933e-06,6.24409383888213e-05,1.9365708,0.9903100775193798,1.8185024,1.0,chr5
118,APRT,4.646616,0.35731074,3.3742432449375392e-06,7.202594974485685e-05,1.233069,0.9224806201550387,1.0641123,0.9508196721311475,chr16
119,NPW,4.631064,0.8140139,3.6379114374321196e-06,7.713454154103285e-05,0.7216077,0.6996124031007752,0.4710272,0.6284153005464481,chr16
120,SEC61B,4.6161513,0.34508762,3.9092191898766425e-06,8.258008359770525e-05,1.2330084,0.9418604651162791,1.0696139,0.9617486338797814,chr9
121,SMIM26,4.588243,0.43840328,4.469919472568559e-06,9.30461047581826e-05,0.762042,0.8023255813953488,0.6115123,0.8743169398907104,chr20
122,ATP5F1D,4.5831304,0.26328725,4.580667631276839e-06,9.507385699326994e-05,1.4420172,0.9806201550387597,1.3057733,0.9890710382513661,chr19
123,RASGEF1B,4.5731173,0.49735844,4.805210513482173e-06,9.944484283271743e-05,2.3341708,0.9961240310077519,2.0285375,0.994535519125683,chr4
124,DGKG,4.540309,2.067499,5.617182073992957e-06,0.00011369112731450046,0.2307936,0.34689922480620156,0.060091108,0.15846994535519127,chr3
125,DENND3,4.5400963,1.0002185,5.622860785478106e-06,0.00011372535026969124,0.354998,0.5271317829457365,0.19314338,0.4262295081967213,chr8
126,PRDX5,4.534344,0.33459508,5.778279858723933e-06,0.00011637357698523242,1.0076327,0.9011627906976745,0.866733,0.9453551912568307,chr11
127,DOCK5,4.5326395,0.92288643,5.825114068946128e-06,0.00011706878295856637,0.48068842,0.6046511627906976,0.2818177,0.5628415300546448,chr8
128,RGL4,4.5190053,0.9380239,6.213090248305788e-06,0.0001237324774449612,0.41133988,0.562015503875969,0.23553567,0.4972677595628415,chr22
129,RREB1,4.5104833,0.8641271,6.468003709876994e-06,0.00012818243905369847,0.48929906,0.6298449612403101,0.2976963,0.5846994535519126,chr6
130,TMEM219,4.5068617,0.35740522,6.579345359744522e-06,0.00013002756130921296,0.81874645,0.8565891472868217,0.6878785,0.9016393442622951,chr16
131,CITED2,4.4631886,1.2504923,8.074891906404895e-06,0.00015772586807318823,0.35244483,0.4786821705426357,0.16347507,0.3551912568306011,chr6
132,RUNX1,4.4572234,0.30946714,8.302803446615951e-06,0.00016184507771059036,1.4569144,0.9476744186046512,1.2966449,0.9890710382513661,chr21
133,NME2,4.4233503,0.17738375,9.718206156049684e-06,0.00018675458433842646,2.4565268,0.9961240310077519,2.3447282,1.0,chr17
134,MYDGF,4.347721,0.4688587,1.3755949534540964e-05,0.0002572407664433044,0.82246095,0.8197674418604651,0.65337867,0.8469945355191257,chr19
135,EREG,4.294035,1.0780729,1.754549420962091e-05,0.000319924810658548,0.5615021,0.5678294573643411,0.30513698,0.46994535519125685,chr4
136,HSPA5,4.255901,0.55313194,2.082091525313911e-05,0.00037485534165973555,0.9116314,0.8042635658914729,0.7003155,0.8524590163934426,chr9
137,CANX,4.2458878,0.31939912,2.1772960077780017e-05,0.0003897810894526871,1.1839635,0.9341085271317829,1.0356799,0.9617486338797814,chr5
138,ACTN1,4.240349,0.4787855,2.2317279386764107e-05,0.0003985248425496173,0.75926226,0.8042635658914729,0.596457,0.825136612021858,chr14
139,FP671120.4,4.2335315,1.260979,2.3004999590990562e-05,0.00040875799273262857,0.5469348,0.5426356589147286,0.26524034,0.44808743169398907,chr21
140,GRK2,4.2326794,0.45011348,2.30923692741586e-05,0.0004100549109342808,0.8300796,0.8527131782945736,0.6661991,0.8907103825136612,chr11
141,ATP5ME,4.1971016,0.40395048,2.7035266536544674e-05,0.0004712663392965654,1.0019436,0.8953488372093024,0.83406025,0.9180327868852459,chr4
142,BTF3,4.1753716,0.10022663,2.9750012420097277e-05,0.0005137357732165563,2.7999184,0.9941860465116279,2.7348123,1.0,chr5
143,SIK3,4.1751585,0.5492953,2.9777867772177835e-05,0.0005137357732165563,0.84093755,0.7984496124031008,0.64239544,0.8415300546448088,chr11
144,GRIP1,4.16195,1.2818781,3.1554145358437394e-05,0.0005417586498084995,0.3330042,0.4437984496124031,0.150582,0.3114754098360656,chr12
145,KCNAB2,4.1604586,0.49836624,3.176090248610221e-05,0.000544652686168769,0.6987079,0.7771317829457365,0.53988135,0.819672131147541,chr1
146,KBTBD11,4.1427765,1.1752528,3.4312645514430455e-05,0.0005834991203223183,0.29197225,0.45348837209302323,0.1398841,0.3333333333333333,chr8
147,SYTL1,4.138942,0.6649487,3.4891163061318126e-05,0.0005912217398589841,0.4952362,0.6589147286821705,0.33947742,0.644808743169399,chr1
148,ZNF593,4.1368113,0.7787867,3.5216552026569275e-05,0.0005960270805303873,0.46437514,0.6162790697674418,0.29600722,0.5901639344262295,chr1
149,AL034397.3,4.1125245,0.78997195,3.913555643070182e-05,0.0006542015230309229,0.5050146,0.622093023255814,0.32207265,0.5737704918032787,chrX
150,PTRHD1,4.0846167,0.44899327,4.414967794355117e-05,0.0007286229835614539,0.6780499,0.7655038759689923,0.53684497,0.8360655737704918,chr2
151,IFI27L2,4.083977,0.7834698,4.427134836701442e-05,0.0007302083937134281,0.4402367,0.5949612403100775,0.2786302,0.5737704918032787,chr14
152,RFX8,4.073325,0.90056086,4.6346610015569125e-05,0.0007617940198409223,0.39707437,0.5387596899224806,0.23200446,0.45901639344262296,chr2
153,MAN2B1,4.060969,0.98666435,4.8869455656267345e-05,0.0008004934729497025,0.33897397,0.5077519379844961,0.18533953,0.4262295081967213,chr19
154,LINC01943,4.031996,1.5954653,5.5305227379125544e-05,0.0008961332240897173,0.27247226,0.38372093023255816,0.09861839,0.2459016393442623,chr2
155,SIRPB2,4.0204916,1.7645452,5.807686483458275e-05,0.0009346704465872634,0.17331117,0.30426356589147285,0.054200143,0.11475409836065574,chr20
156,RAB11FIP3,4.0194263,1.1600032,5.8340047458158484e-05,0.00093837646554527,0.29144937,0.45155038759689925,0.14099824,0.33879781420765026,chr16
157,ANKRD28,3.9587097,0.3153292,7.535572693572766e-05,0.001174956052899443,1.304417,0.9147286821705426,1.1500279,0.9617486338797814,chr3
158,FLNA,3.9478447,0.5650772,7.88579069668933e-05,0.001222211842870578,0.5871676,0.7034883720930233,0.43177098,0.7213114754098361,chrX
159,FAM107B,3.9399624,1.2278028,8.149441886358274e-05,0.0012576070547357426,0.37730852,0.4844961240310077,0.17873362,0.41530054644808745,chr10
160,TMSB10,3.9397492,0.15929542,8.156681929742202e-05,0.001258043565561861,2.6017976,0.9941860465116279,2.4999998,1.0,chr2
161,HGF,3.9084322,0.9038293,9.289694613005585e-05,0.001408418452810703,0.40507215,0.5310077519379846,0.23658733,0.453551912568306,chr7
162,GAS5,3.902254,0.1613974,9.530099449938857e-05,0.0014418004037843838,2.3281133,0.9922480620155039,2.2277136,1.0,chr1
163,SNHG3,3.8875544,0.4913166,0.00010125928114574316,0.0015206488571428665,0.7962369,0.7674418604651163,0.623729,0.7923497267759563,chr1
164,ROMO1,3.8391943,0.33879554,0.000123438690117,0.0018117470739869306,1.048377,0.9089147286821705,0.9022657,0.9508196721311475,chr20
165,NME3,3.8293946,0.98102885,0.00012845893163034692,0.001875776657570012,0.33151048,0.48643410852713176,0.18160205,0.41530054644808745,chr16
166,CLEC12A,3.8070252,0.91891336,0.00014064835561573654,0.0020329497239987707,0.3532256,0.49612403100775193,0.20218365,0.3770491803278688,chr12
167,GRN,3.805321,0.51749814,0.00014162040844139693,0.002041825484293103,0.53575176,0.689922480620155,0.40219826,0.726775956284153,chr17
168,A1BG,3.8040428,0.829323,0.00014235359656786193,0.0020482542214542315,0.35497692,0.5465116279069767,0.21497676,0.48633879781420764,chr19
169,COX4I1,3.7955213,0.13366649,0.0001473336339889768,0.0021124487552024334,2.2951655,0.9903100775193798,2.2122476,1.0,chr16
170,EIF3H,3.7077487,0.15538497,0.00020911004932473127,0.002878088989692416,1.4905725,0.9670542635658915,1.4081604,0.994535519125683,chr8
171,EIF3E,3.703914,0.18153806,0.00021229830986137794,0.002919152941478677,1.6029296,0.9651162790697675,1.5037324,0.9890710382513661,chr8
172,CERS6,3.6804795,0.48286405,0.00023279574478481522,0.0031734555687253155,0.7620776,0.7713178294573644,0.59756184,0.8142076502732241,chr2
173,MMP2,3.6800535,1.8004793,0.0002331850682568021,0.0031757267318755886,0.16805021,0.29069767441860467,0.051200908,0.13114754098360656,chr16
174,MFSD1,3.6706798,0.54459465,0.00024190633440959928,0.0032788426067932286,0.5521439,0.6686046511627907,0.40896338,0.7377049180327869,chr3
175,SNRPD2,3.6419194,0.15105888,0.0002706129253778802,0.0036062333672553216,2.0430028,0.9922480620155039,1.9525055,0.994535519125683,chr19
176,SLC39A11,3.63425,0.6307194,0.0002787906012520431,0.0036979304030259376,0.46268347,0.6182170542635659,0.3220659,0.5901639344262295,chr17
177,S100A6,3.6233847,0.27364248,0.0002907727341125119,0.0038354564437653167,1.1337913,0.939922480620155,1.0091665,0.9617486338797814,chr1
178,CHCHD10,3.6172066,0.3194017,0.000297799546949588,0.0039190805168012694,0.91318446,0.8507751937984496,0.7865873,0.907103825136612,chr22
179,AL355922.1,3.6118805,1.5279576,0.00030398447843210815,0.003991265817645884,0.22081728,0.3449612403100775,0.08221097,0.20765027322404372,chr14
180,FYB1,3.5799246,1.0758584,0.0003436933119179417,0.004433037480450412,0.28229856,0.436046511627907,0.1438697,0.3442622950819672,chr5
181,RAB44,3.5633075,0.89032614,0.0003662112468179954,0.004687438212188328,0.3393307,0.5,0.19717644,0.43169398907103823,chr6
182,FNBP1,3.5590467,0.3698932,0.00037220332684482046,0.004755597883046859,0.7628719,0.8062015503875969,0.6342472,0.8524590163934426,chr9
183,TNRC18,3.497265,0.41227415,0.0004700544549138012,0.005815623837410752,0.834665,0.8294573643410853,0.6830499,0.8852459016393442,chr7
184,SERPINB10,3.4674394,3.8614168,0.0005254419979988853,0.006392728199203162,0.14316148,0.19573643410852712,0.010533974,0.0273224043715847,chr18
185,RRBP1,3.4442182,0.77399135,0.0005727134243683552,0.006879798414547917,0.3512316,0.5116279069767442,0.22001247,0.4371584699453552,chr20
